Variant,Gene,Association,Concat,Tissue,Subtissue,Samples,NES,p-value,m-value,Flair,M,GTEx_Flair
rs356182,SNCA,PD,rs356182_PD,Brain,Amygdala,129,0.0756,0.05,0.695,,0.7,
rs356182,SNCA,PD,rs356182_PD,Brain,Substantia nigra,114,0.041,0.5,0.298,,0.3,
rs356182,SNCA,PD,rs356182_PD,Brain,Nucleus accumbens,202,-0.0142,0.7,0.033,,0.03,
rs356182,SNCA,PD,rs356182_PD,Brain,Hippocampus,165,-0.0182,0.6,0.032,,0.03,
rs356182,SNCA,PD,rs356182_PD,Brain,Frontal cortex,175,-0.0134,0.6,0.006,,0.01,
rs356182,SNCA,PD,rs356182_PD,Brain,Cortex,205,0.0186,0.4,0.038,,0.04,
rs356182,SNCA,PD,rs356182_PD,Brain,Cerebellum,209,0.0876,0.06,0.632,,0.63,
rs356182,SNCA,PD,rs356182_PD,Brain,Putamen,170,0.0621,0.07,0.575,,0.58,
rs356182,SNCA,PD,rs356182_PD,Brain,Anterior cingulate cortex,147,0.024,0.4,0.128,,0.13,
rs356182,SNCA,PD,rs356182_PD,Brain,Caudate,194,0.014,0.7,0.072,,0.07,
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Cortex,205,-0.409,1.90E-05,1,**,1**,**
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Substantia nigra,114,-0.0907,0.3,0.013,,0.01,
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Cerebellum,209,-0.736,9.90E-19,1,**,1**,**
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Frontal cortex,175,-0.392,6.30E-05,1,**,1**,**
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Hippocampus,165,-0.165,1.00E-01,0.336,,0.34,
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Nucleus accumbens,202,-0.29,4.10E-03,0.98,**,0.98**,*
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Spinal cord,126,-0.538,2.00E-05,1,**,1**,**
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Cerebellar hemisphere,175,-0.51,3.10E-08,1,**,1**,**
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Amygdala,129,-0.0918,4.00E-01,0.079,,0.08,
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Nerve,Tibial,532,-0.326,3.10E-09,1,**,1**,*
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Hypothalamus,170,-0.134,2.00E-01,0.115,,0.12,
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Putamen,170,NA,NA,NA,,NA,
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Anterior cingulate cortex,147,-0.405,2.60E-04,1,**,1**,**
rs3756059,SNCA-AS1,RBD,rs3756059_RBD ,Brain,Caudate,194,NA,NA,NA,,NA,
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Cortex,205,-0.179,7.00E-02,0.924,,0.92,
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Substantia nigra,114,-0.11,2.00E-01,0.691,,0.69,
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Cerebellum,209,-0.196,3.00E-02,0.948,*,0.95*,*
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Frontal cortex,175,-0.184,6.00E-02,0.96,,0.96,
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Hippocampus,165,-0.337,2.30E-03,0.991,**,0.99**,*
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Nucleus accumbens,202,-0.327,1.20E-03,0.997,**,1**,*
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Spinal cord,126,-0.116,4.00E-01,0.774,,0.77,
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Cerebellar hemisphere,175,-0.194,4.00E-02,0.963,*,0.96*,*
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Amygdala,129,-0.134,2.00E-01,0.799,,0.8,
rs356182,SNCA-AS1,PD,rs356182_PD ,Nerve,Tibial,532,-0.158,7.00E-03,0.975,*,0.98*,*
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Hypothalamus,170,-0.193,6.00E-02,0.957,,0.96,
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Putamen,170,NA,NA,NA,,NA,
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Anterior cingulate cortex,147,-0.458,2.50E-05,1,**,1**,**
rs356182,SNCA-AS1,PD,rs356182_PD ,Brain,Caudate,194,NA,NA,NA,,NA,
